artist_name,track_name,duration_ms,time_signature,popularity
Vianni,Antisocial,158400,4,38
MC Paul Barman,(((echo chamber))),147933,4,8
Aash Mehta,Going Numb,236242,4,28
Cryptic Wisdom,Look Alive,210854,4,28
Makla,How Hard (feat. Hawkboy),193008,4,8
KG,Mabo Martin Mandela,207243,4,8
Evidence,Moving Too Fast (feat. Catero),92453,4,28
The Feels,Dream On (feat. Beatrich),254787,4,28
Timo$,Lock It Up,229660,4,18
Kathleen Madigan,Malaysian Flt 370 Pt. 1,175596,3,28
Marwa Loud,Mehdi,165401,4,48
Richard Clayderman,I Don't Like To Sleep Alone,172942,4,8
Richard Clayderman,Without You,177308,4,8
Ed Mount,Don't You Remember,221867,4,38
The Wandering Hearts,Wish I Could,176467,4,38
Jeanway,Sweat,214010,4,8
Milo Heart,Exit,214946,4,48
Karuna Satori ASMR,Sleep Clinic Part 3,234057,1,28
Gin Wigmore,Cold Cave,252613,4,28
Joey Dosik,The Night Before …,91159,4,28
Brandon Oaks,Drawing Close,246653,4,18
Wildstylez,Colours Of The Night,237575,4,48
Kathleen Madigan,"The Villages, Florida",204177,3,28
YoungMin You,The Greatest Showman Piano Medley (All Songs),351184,5,28
El Fisico,Una Noche,190459,4,48
Damian Wyldes,Disengage,335872,1,28
Skater,Euphoria,211765,4,18
The Republic of Wolves,Bask,231454,3,18
DOM,More,195115,4,28
El Mayor Clasico,Ven Meneate,212402,4,8
Jay Worthy,Fantastic Four (feat. Iamsu!),188813,4,18
Ryan Bingham,Radio - Live,312933,4,28
Celtic Thunder,Sons of Light,312507,3,28
PARKER,High,235973,4,8
Netherfriends,This Is What I Want Now,109845,5,28
Carl Friedrich Abel,"Symphonies à 4 parties in D Major, Op. 1 No. 3, WKO 3: I. Allegro",190187,4,8
TOKiMONSTA,"NO WAY (feat. Isaiah Rashad, Joey Purp & Ambré) [Kingdom Remix]",190898,4,18
Sou El Flotador,Te Regalo un Aka,221520,4,8
Jesse Daniel Smith,Dammit,239140,4,28
Davina Michelle,In My Blood,167201,4,38
Vayb,Fo'm alé,330422,4,28
We Were Sharks,Always You,203513,4,28
H.C. McEntire,Quartz in the Valley,265733,4,18
Retrovision,Dancin',174270,4,28
Rob Curly,Conclusions,161280,4,28
Evidence,What I Need,234573,4,28
Jacob Powell,Bourbon on a Broken Heart,161640,4,18
Slugdge,Crop Killer,439000,3,28
Nightwish,Elvenpath - Remastered,282204,4,28
Manuel Riva,Miami - Radio Edit,211376,4,28
illuminati hotties,Paying off the Happiness,151360,4,18
Gucci Savage,Fucci Average Freestyle (Prod. by Bobby Blakdout),100141,4,28
Swings,Everday,179663,4,18
Silkk The Shocker,Bags,181612,4,18
Keaira LaShae,Play the Side,254000,4,8
Anfa Rose,Substance,232072,4,28
Ruben de Ronde,When I Fall,190250,4,38
Celtic Woman,The Kesh Inn - Live 2017,183680,4,28
BAND-MAID,Play,199723,4,38
Justin Stone,Let's Go,185151,4,28
Bogues,Finger Lakes & the End of Things,200892,4,18
Jan Pieterszoon Sweelinck,Fantasia in D Major,455640,4,8
Discrepancies,The Awakening,221205,4,28
Rebel Wilson,Don't Speak x Hard For Me to Say I'm Sorry,144949,4,28
Rowlan,now,159000,4,18
Raven & Kreyn,Memories (feat. Ralph Larenzo),185600,4,28
Karuna Satori ASMR,Sleep Clinic Part 4,242231,4,28
Midnite String Quartet,Linger,200211,4,8
Syskey,Mind Right - Radio Edit,164160,4,18
Миша Марвин,4 утра,260023,4,38
EVAN GIIA,DRIP,172072,4,28
Julio Haro,Felizmente Soltero,168124,3,8
Michael Lee Brown,Lettin' It Play,196078,4,28
Chang Min,With Me,244701,4,28
Remmy Valenzuela,Qué Me Vas A Dar Si Vuelvo - En Vivo,251960,4,38
Suigeneris,Blank,123429,4,28
Lucy Grimble,Great Redeemer,305670,4,28
Logan Cannon,Sad Songs,183797,4,8
Project Destati,Night of Fate,342547,5,28
ill.gates,Bamboo,221247,4,18
Carl Nielsen,"Serenata in vano, FS 68 (Live)",480584,4,8
De Lux,Keyboards Cause We're Black and White (Prins Thomas Diskomiks),556501,4,8
Greyhounds,Get Away Clean,237393,4,28
Levi Whalen,The Start of Us,344000,4,28
Sergei Rachmaninoff,"Symphony No. 2 in E Minor, Op. 27: III. Adagio - Live",905213,3,18
Big Tray Deee,True Life Storiez,213081,4,28
Traviezoz de la Zierra,La Dama de la Hemi,183062,3,28
