artist_name,track_name,duration_ms,time_signature,popularity
Michael W. Smith,Something in My Heart,207653,4,32
Kultur,Ocean,229200,4,32
Until The Ribbon Breaks,One Match,237575,4,32
Late June,In Places,140330,4,32
Kiesza,Mother,213253,4,32
Cast - Muppet Babies,The Lily Pad Blues,69893,4,32
Nitro Fun,keygen,266322,3,32
SkysDarkerThanNight,Mad For No Reason,98795,3,32
Rikard From,Adrift,259504,4,32
Anthem Lights,"10,000 Reasons / What a Beautiful (feat. Caleb and Kelsey)",178190,4,32
Thunderstorm Sound Bank,Relaxing Nighttime Rain and Storms Sounds,68389,4,32
Thunderstorm Sound Bank,Refined Night Rain and Thunder Sounds,62824,5,32
Anthem Lights,Dear No One (feat. Spencer Kane & Brooke),211690,3,32
Rusty Cage,Write Me a Letter,323749,3,32
La Santa Grifa,Biscochologo,320261,4,32
Iyanya,Good Vibes (feat. Team Salut),160777,4,32
Revolution 5000,Missed Calls All Day,199262,4,32
SAKIMA,Death Is in the Air,203530,4,32
Thunderstorm Sound Bank,Stimulating Rain Storms Sounds,66429,4,32
Juelz,WYWD (feat. bbno$),136154,4,32
Dr Prince,Steady Lamba,194966,4,32
Lena Raine,Anxiety,113154,4,32
One Voice Children's Choir,This Is Me,236386,4,32
Radio Caroline,Down (feat. Grim*),179704,4,32
Aire Atlantica,Things I Hate About U,205035,4,32
slenderbodies,amnesia,207926,4,32
Thunderstorm Sound Bank,Enthralling Outside Rain & Storm Sounds,69381,4,32
Thunderstorm Sound Bank,Squally Nighttime Rain & Storm Sounds,67762,4,32
Ben Prunty,Old Site - Black Moonrise Mix,203507,4,32
Jekalyn Carr,I Love The Way You Love Me,304263,4,32
Grupo 360,Flaco Rr,194653,4,32
Adan Cruz,Yo en Mi Vuelo,229565,4,32
Robert Schumann,"Fantasiestücke, Op.73: 1. Zart und mit Ausdruck",213307,5,32
Alex Aris,Wrong Love,219746,4,32
Downlink,Absolute Fire,260800,4,32
Los Rugar,Huapango el Tenebroso,288366,4,32
Rise Among Rivals,Empty Love Scene,206447,4,32
Adan Cruz,Nunca Débil Siempre Firme,238573,4,32
ionnalee,WATCHES WATCHES,224053,1,32
Varian,Let Me Make You Proud (Reprise),62901,4,32
Delamare,Know Now - Loé & Xander Coast Redo,180796,4,32
Thunderstorm Sound Bank,Thunder Storm Sounds,61962,4,32
Thunderstorm Sound Bank,Chill Moonlit Thunder Storm Sounds,62328,4,32
shinigami,Wayside,139769,4,32
Honeybucket,Bad Thoughts (Acoustic),218762,4,32
Bali Baby,No Drama (feat. YG),120394,4,32
Frank Fields,Imma Be a Star,182122,4,32
Drones,Anchors,198876,4,32
KUNZITE,PRESSURE,269529,4,32
Thunderstorm Sound Bank,Windy Thunderstorms Sounds,62563,0,32
Thunderstorm Sound Bank,Pure Night Thunderstorm Sounds,63269,3,32
Smooth McGroove,Everytime (A Cappella),175294,4,32
Solence,Toxic,194899,4,32
Ana Gabriel,Quien Como Tu - En Vivo,210791,4,32
Allie Crow Buckley,Captive,258308,4,32
Paul Williams,Clouston Bridge,266069,4,32
Thunderstorm Sound Bank,Exceptional Late Night Thunder Storm Sounds,64705,4,32
Thunderstorm Sound Bank,Enthralling Late Night Rain and Storm Sounds,69878,1,32
Thunderstorm Sound Bank,Dreamy Outside Rain and Thunder Sounds,62877,0,32
Thunderstorm Sound Bank,Sounds of Lightning,65907,4,32
Rusty Cage,I Keep on Walking,312763,4,32
Thunderstorm Sound Bank,Alluring Evening Rain and Storms Sounds,61989,3,32
Thunderstorm Sound Bank,Euphoric Moonlit Thunder Storms Sounds,65384,1,32
Thunderstorm Sound Bank,Supreme Rain & Thunderstorm Sounds,64157,3,32
Thunderstorm Sound Bank,Masterful Natural Rain & Storms Sounds,61623,4,32
Airman,Take A Nap,191873,4,32
Heilung,Hamrer Hippyer,848147,3,32
Fabvl,King of the Kill (Fortnite Rap Song),177145,4,32
Thunderstorm Sound Bank,Quaint Natural Rainstorms Sounds,62589,4,32
Thunderstorm Sound Bank,Drizzly Rainstorm Sounds,62851,4,32
Thunderstorm Sound Bank,Dreamy Rain and Thunderstorms Sounds,63164,4,32
Aryia,I Thought That We Were Fine,198621,4,32
Fu Manchu,Clone of the Universe,177413,4,32
Inas X,No Love,194372,4,32
Thunderstorm Sound Bank,Extraordinary Rain & Thunderstorm Sounds,69407,3,32
Thunderstorm Sound Bank,Somber Nighttime Thunderstorm Sounds,61544,4,32
Thunderstorm Sound Bank,Windy Nighttime Rain & Storm Sounds,69329,5,32
Thunderstorm Sound Bank,Calming Late Night Thunderstorm Sounds,62250,4,32
Lena Raine,My Dearest Friends,133326,3,32
Che Lingo,Black Girl Magic,210000,4,32
Smerz,Bail on me,171596,4,32
Joyce Santana,Será Igual (feat. Deborah Blues),229219,4,32
Simcha Leiner,A Million Dreams,144044,4,32
Isaac Waddington,Nothing's Changed,177330,4,32
Thunderstorm Sound Bank,Stormy Sounds,69381,3,32
Thunderstorm Sound Bank,Scenic Rain & Thunderstorm Sounds,64261,4,32
Thunderstorm Sound Bank,Euphoric Evening Rain Storms Sounds,66403,4,32
Thunderstorm Sound Bank,Rainy Sounds,61597,3,32
Thunderstorm Sound Bank,Distinguished Outside Rain & Storms Sounds,62459,5,32
Thunderstorm Sound Bank,Stimulating Thunder Storm Sounds,63190,3,32
Gianni Blu,Right Amount of Wrong - TRU Concept Remix,198712,4,32
Niko Eme,Enough,216469,4,32
Mark Lotz,Echoes of a Life Hereafter,472133,3,32
Ленинград,Не Париж,228757,4,32
The Greatest Bits,"Fortnite Menu Theme (From ""Fortnite Battle Royale"")",221400,4,32
Applejay,Party Tonight,236934,4,32
NYXX,Voodoo,259800,4,32
slenderbodies,lucid,260625,4,32
Thunderstorm Sound Bank,Storm Sound,69512,3,32
Thunderstorm Sound Bank,Spirited Nightfall Rain & Storm Sounds,61649,4,32
Thunderstorm Sound Bank,Optimal Thunder Storms Sounds,64601,4,32
Amadou & Mariam,Filaou Bessame (Cerrone Remix),280526,4,32
Los Rugar,Huapango el Son de la Rabia,207099,3,32
Alessandra Celletti,Hindu Melody,134707,4,32
Barrett Baber,Fight On,202730,4,32
Rise Cast,Scars To Your Beautiful - Rise Cast Version,258933,4,32
Watain,Sacred Damnation,281380,4,32
Jess and the Bandits,White Lies,182755,3,32
The Local Train,Khudi,297643,4,32
SFire,King of My Own,160223,3,32
Thunderstorm Sound Bank,Idyllic Rain & Thunder Sounds,69904,5,32
Thunderstorm Sound Bank,Sharp Nighttime Thunder Storms Sounds,63869,5,32
Thunderstorm Sound Bank,Flowing Rain Storms Sounds,66273,3,32
