artist_name,track_name,duration_ms,time_signature,popularity
Nature Relax Sounds,Attentions,33000,3,23
Jon Keith,Where You Been,116975,4,23
Black Rebel Motorcycle Club,Circus Bazooko,342496,4,23
Maître Gims,PS,251640,4,23
Steve Void,Comfortable [Kharmelo Remix],166000,4,23
Dan Romer,The Lights Will All Go Out,120092,4,23
Young Greatness,Doubt Me,181480,4,23
Voz A Voz,Soy el Perdedor,217667,4,23
Rosendale,Divine,183273,4,23
Brandon Jenkins,Be the Revival,234057,4,23
Black Rebel Motorcycle Club,Calling Them All Away,405916,4,23
Nick & Sammy,O.o.O(On or Off),220303,4,23
Lea Love,Doctor,206039,4,23
DopemanBeats,Game Been Good To Me,107598,3,23
Rob Simonsen,Gonna Get Some Air,91621,4,23
Hush Harbor,Collide,249725,4,23
Maître Gims,Everytime,195787,4,23
Yomil y El Dany,Subeme la Music,223661,4,23
Q Da Fool,I Wanna (feat. Fat Trel),209241,4,23
Lowercase Noises,She Was the Region for Being,327973,1,23
Paul Williams,Braces,248000,4,23
Ieuan,Closure,203455,4,23
Meyhem Lauren,Steamed Monkfish,141346,4,23
Frédéric Chopin,"Études, Op. 25: I. Etude in A-Flat Major ""Aeolian Harp""",151067,4,23
Bumpin Uglies,Officer O'Herlihy,225320,4,23
Bumpin Uglies,Show Must Go On,194520,4,23
Josh Rouse,I'm Your Man,198040,4,23
Anna McClellan,Flailing Orbits,115413,4,23
Yomil y El Dany,Lola,209790,4,23
Wande Coal,Will You Be Mine,225227,4,23
DT8 Project,Destination (Mix Cut) - Above & Beyond Remix,154391,4,23
Kim So Eun,"Love, Love",201313,4,23
SG Tip,4LGang (feat. PDE Escobar),187013,4,23
Cynic,Humanoid (Single),248570,4,23
Bandhunta Izzy,FoReal,202813,4,23
Mashinomi,Stoic ni Detox,262027,4,23
Rob Simonsen,Coming out Straight,70412,4,23
Niall Horan,Too Much to Ask,221507,4,23
Myah,Lights Out,170472,4,23
Bumpin Uglies,Apathy,311200,4,23
Kolyon,Palm Trees,150387,4,23
Judith Hill,Abracadabra,197145,4,23
No Te Va Gustar,"Nostalgias Santiagueñas - Banda Sonora Original de la Película ""Ábalos, una Historia de 5 Hermanos""",208856,3,23
Indiana Bible College Choir,Do It Again,415000,4,23
Typhoon,Beachtowel,201919,4,23
Andre Veloz,Eta Que Ta' Aqui,192318,4,23
Tyrant,Backstreets,180062,4,23
SayVerse,Eres Tu,207543,4,23
Los Remis,Miraron Llorar un Hombre,219653,3,23
Typhoon,Chiaroscuro,189709,4,23
Justin Stone,Dead Inside,185255,4,23
Bandhunta Izzy,Same Nigga,171467,4,23
Anthony Santos,Mátame,208628,4,23
En Vogue,Electric Café,274176,4,23
SG Tip,Block Boy,192000,4,23
Nursery Rhymes ABC,I See the Moon,143000,4,23
Moe Moks,Push Button,208067,1,23
Los Del Arroyo,Quise Pelear - En Vivo,212609,3,23
Los Remis,Ando en Busca,236053,4,23
Foxtrot & the Get Down,Down & Out,187435,4,23
Boonk Gang,Calabasas Arrest,174575,3,23
Nursery Rhymes ABC,I Can Sing A Rainbow,180000,4,23
Nursery Rhymes ABC,Twinkle Twinkle Little Star - Piano Instrumental Version,133000,4,23
Moosh & Twist,Fallin,231446,4,23
Sandra McCracken,Letting Go,273244,5,23
Myah,Lessons,224736,4,23
Foggieraw,Thuggin (feat. Abdou & Mannywellz),299729,4,23
Twitching Tongues,Harakiri,179673,4,23
Q Da Fool,Where the Drugs At,131808,3,23
Emilia Ali,Bored,194599,4,23
Trace Mountains,A Partner to Lean On,198586,4,23
Boonk Gang,How I Move,145710,4,23
Young Chop,Out My System (feat. Lil Durk),179232,4,23
Field Music,Count It Up,223539,4,23
Skyzoo,Sound Like...,194499,4,23
The Seshen,All I Know (Rhi Mix),157503,4,23
All Time Low,Drugs & Candy - Live,222250,4,23
Destroy Boys,Vixen,157648,4,23
Big Baby Scumbag,Lucky Charm,139580,4,23
RIKA,The Others,197286,4,23
Ленинград,Без,167771,4,23
Jussie Smollett,I Know My Name,220618,4,23
LOGIC LDOT,Mobb Music,218671,4,23
Wolfgang Amadeus Mozart,"Piano Sonata No. 4 in E-Flat Major, K. 282: I. Adagio",337259,4,23
Hawk Nelson,I'd Never Know,216947,4,23
UNKN0WN,Is It Too Much to Ask For,100728,4,23
Rain Sounds,Rain Sound: Easy Sleeping,228514,3,23
Rob Simonsen,Homecoming,106088,3,23
Rob Simonsen,Doves,131933,5,23
Kyau & Albert,The Night Sky (Mix Cut),171949,4,23
Fresh Life Worship,No Shadow,394333,3,23
Myah,Mr No Soul,165792,4,23
sobhhï,twisted,204562,4,23
매니악,"MoneyMakerz (feat. Jessi, Jay Park)",215690,4,23
Sylvan LaCue,Step 7 : What We Deserve,58195,4,23
Teeel,School Dance,192973,4,23
David Tobin,Brand New Way To Be Me,184599,3,23
Maduk,Miles Apart - Ella Noël Only Mix,238635,4,23
Lauren Ruth Ward,Sideways,187542,4,23
The Hunts,Love of Mine,259987,3,23
Forever M.C.,"Vendetta (feat. Ras Kass, Planet Asia, Chuck D & Bronze Nazareth)",258667,4,23
Guided By Voices,Blink Blank,205553,4,23
Jonny Greenwood,Nina Through Glass,202209,3,23
The Go! Team,She's Got Guns,210083,4,23
De Lux,Music Snob,316774,4,23
Typhoon,Ariadne,353785,4,23
DrefQuila,Me Quema,213969,4,23
Gateway Worship,Melody of Love - Live Acoustic,376920,4,23
Almighty Suspect,DemonsInMyEar,111334,4,23
Antonio Vivaldi,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto",146530,3,23
Flame,Not Good Enough,226480,4,23
DopemanBeats,Summer Time Spending,99265,4,23
BANDA TIERRA MOJADA,El Holandés,182398,4,23
