artist_name,track_name,duration_ms,time_signature,popularity
Julian Lage,General Thunder,325678,4,30
Onra,No Question ft. Pomrad,141144,4,30
Nolan Koskinen,Do U Kno Da Wae,107591,4,30
Clean Bandit,I Miss You (feat. Julia Michaels) - Joe Maz Remix,214857,4,30
Palatine,C'était un loup,220096,4,30
All Sons & Daughters,Brokenness Aside,352027,4,30
Snoop Dogg,I Don't Care (feat. LunchMoney Lewis),152709,5,30
biosphere,Peach Tree,82963,4,30
Scott Bradlee's Postmodern Jukebox,Alone,182415,3,30
Jeremy Passion,All Smiles,278387,4,30
"You, Me, And Everyone We Know",Carolina Heat,196440,4,30
Yuleidy Brito,Como Vivir Sin Ti,167236,4,30
Elise Trouw,Line of Sight (Loop Version) [Live],226700,4,30
Magnify Worship,Hallelujah (Instrumental),388421,3,30
Donny,Just Let Me Know,106200,4,30
Ben Woodward,Singing in the Rain,189391,4,30
Siddhartha Khosla,Blip On The Radar (Moonshadow),365250,4,30
Justin Stone,Potential,153857,4,30
Triple Ess,Don't Need a Reason,180029,4,30
SayMaxWell,Tide Goes Out (Remix),166737,4,30
Rapunzel,Set Yourself Free,135893,4,30
Dante Greer,Stick Shift Sex Drive,150387,4,30
Dannic,In No Dip,168516,4,30
The Hunts,Oh Darlin',316307,3,30
FancyJ London,Galaxy,197137,4,30
Adan Cruz,Imma' Be Okay,226778,4,30
Joe Veras,Me Embriago de Ti,251037,4,30
Triple Ess,So We Doing It (feat. Tren-Setta),183252,5,30
Ikson,Skyline,149238,4,30
하이파이브,끌어줘,201185,4,30
Los Retoños Del Río,Labrado en Tus Recuerdos,218760,4,30
MAYKA,Rich,193895,4,30
La Santa Grifa,A Donde Voy a Llegar,290665,3,30
Sara Kendall,Fantasies,217773,4,30
Audiomachine,Subversive Deed,193353,4,30
Stonebwoy,Wame,224418,4,30
Glen Hansard,One Of Us Will Lose,208733,4,30
Super Whatevr,Why Do I Wonder Why,177136,4,30
Jack Mosbacher,Ready for Something Good,157971,4,30
Brian Culbertson,I Want You,234137,4,30
Rameses B,Venus,246625,4,30
Snoop Dogg,On The Double,209719,4,30
CHXPO,Vampire Knight,208701,5,30
Dylan Gardner,I Want It Like That,195853,4,30
Cellar Darling,The Prophet's Song,444569,4,30
Project Destati,"At Dusk, I Will Think of You",265120,4,30
Eury Miguel,Ando Por La Calle,262087,4,30
Shiloh Dynasty,Bedroom,133755,3,30
Wasadog,Where and When,190822,4,30
Anna McClellan,Heart of Hearts,186253,4,30
Capital City Music,Joy in Your Waters (feat. Jacob Cantrell),270500,4,30
Oliver,Charisma (feat. Jamie Lidell),260560,4,30
Gardiner Sisters,Soulmate,184598,4,30
Cody Simpson,Waiting For The Tide,173024,4,30
Virtual Self,Ghost Voices - Raito Old School Remix,281905,4,30
Tommy Lee Sparta,Dismiss,156056,4,30
The Mudhole Stompers,Allentown Polka,120367,3,30
The Mudhole Stompers,Beaumont Rag,111451,4,30
The Mudhole Stompers,Calgary Polka,129284,4,30
The Mudhole Stompers,Dill Pickle Rag,118881,4,30
The Mudhole Stompers,Down Yonder,108479,4,30
The Mudhole Stompers,Durang's Hornpipe,84701,4,30
