artist_name,track_name,duration_ms,time_signature,popularity
Nature Relax Sounds,Attentions,33000,3,23
N8N,Sign Ur Name,254485,4,12
Amarionette,Charm,199797,4,26
Cosmos People,拿下這一場,238333,4,27
Khary,"The Intern, The Captain, and Khary.",204564,4,26
Wolfgang Amadeus Mozart,"Preludes & Fugues, K. 404a: Fugue No. 3 in F Major",157040,3,21
Aash Mehta,Going Numb,236242,4,28
Cryptic Wisdom,Look Alive,210854,4,28
Midnite String Quartet,Zombie,278437,4,21
Jon Keith,Where You Been,116975,4,23
Christopher Lennertz,Flowers / Father and Son,212813,4,12
Manic Street Preachers,Distant Colours - Demo,222747,4,2
Manic Street Preachers,Vivian - Demo,268507,4,2
Manic Street Preachers,Concrete Fields,237853,4,2
Manic Street Preachers,A Soundtrack to Complete Withdrawal,238653,4,2
Flipturn,Nickel,237197,4,27
Lil Duke,I'm Gettin' Paid (feat. Lil Baby),156767,4,12
350heem,Own,191991,4,25
Dirt Monkey,Peanut Butter Jelly Time,192000,4,29
Calexico,Flores y Tamales,168507,4,29
Fischerspooner,Everything Is Just Alright,171731,4,26
Michael W. Smith,Something in My Heart,207653,4,32
Julian Lage,Roger the Dodger,252754,3,29
Scallops Hotel,Bought My Kid A High Chair,119093,4,27
L.A. Salami,Brick Lane,219094,4,21
Juliana Hatfield,A Little More Love,218499,4,26
Twitching Tongues,AWOL (State of the Union),296950,3,22
Kultur,Ocean,229200,4,32
Josh Rouse,Businessman,240133,4,25
Tritonal,Call Me - Sj Remix,243871,4,22
Ryan Bingham,Bread and Water - Live,338700,4,29
Until The Ribbon Breaks,One Match,237575,4,32
One Week Notice,Peace to the Land,181385,4,21
Late June,In Places,140330,4,32
Black Rebel Motorcycle Club,Circus Bazooko,342496,4,23
GT Garza,Huned 100s,194149,4,21
Ymisonice,Gram Age,183500,4,27
New Years Day,Bizarre Love Triangle,247773,4,29
Citipointe Live,Where Revival Lives (Live),254747,4,29
Reyna Biddy,Some Day,85453,3,27
Step Up: High Water,Right Beat,144703,4,25
Evidence,Moving Too Fast (feat. Catero),92453,4,28
"Tito ""El Bambino""",Contigo Siempre,205166,4,20
Korede Bello,Melanin Popping,195389,4,26
Grupo H-100,Quisiera,219320,4,22
OMB Peezy,Ready,206716,4,22
The Feels,Dream On (feat. Beatrich),254787,4,28
Alex Isley,Smoke & Mirrors,299673,4,27
Late June,I Don't Want To Lose You,140016,4,27
Kathleen Madigan,Malaysian Flt 370 Pt. 1,175596,3,28
Miguel,Adorn,193147,4,29
Kiesza,Mother,213253,4,32
Hovvdy,Quitter,162797,4,24
Dessa,5 Out of 6,212680,4,20
FG Famous,Against All Odds,129196,4,21
American Pleasure Club,there was a time when i needed it,171615,4,26
Paul Williams,Nothing on Me,219330,4,29
Future Of Forestry,Union,261267,3,26
Los Remis,Aviso del Cielo,149333,3,24
