artist_name,track_name,duration_ms,time_signature,popularity
Gemitaiz,Alaska (feat. Priestess),218576,4,59
Paul Rey,Soldier,181786,4,59
Natos y Waor,Bicho raro,237527,4,59
Lorenzo,Bizness,168480,4,59
Gemitaiz,Oro E Argento,231789,4,59
Preto no Branco,Me Deixe Aqui,274840,4,59
Bailey Manns,Meant to Be,194082,4,59
Maneva,Pisando Descalço,189325,4,59
John Lundvik,My Turn,182693,4,59
Carlos Sadness,Te Quiero un Poco,206129,4,59
The Castles,Mi Vida en Tus Ojos,205222,4,59
Tekkla,Good Ol' Days,401471,4,59
1Kilo,Radin,269838,4,59
Ceg,Bu Gece,281571,4,59
Jetlag Music,Brisa,187090,4,59
Ir Sais,Midnight Boom,145937,4,59
Thiago Brava,Faz Assim,221717,4,59
Bizarrap,Wanda Nara (Bizarrap Remix),247303,4,59
Sorriso Maroto,Pot-Pourri: Me Olha Nos Olhos / Futuro Prometido / Ainda Gosto de Você - Ao Vivo,364832,4,59
MC Neguinho do Kaxeta,Banheira de Espuma,186353,4,59
TACONAFIDE,8 kobiet - Remix,270813,4,59
Grito Filmes,Quando Você Voltar,270182,4,59
