artist_name,track_name,duration_ms,time_signature,popularity
Sanction,Fixated Upon a Figure,133994,4,31
Vianni,Antisocial,158400,4,38
KVR,Love With The Lights On,147033,4,33
Nature Relax Sounds,Attentions,33000,3,23
Jah Khalib,Letnie tayny,211765,4,36
Steezmonks,Bloody Betty,324375,4,3
Hentaidesu,Polka Dots & Moonbeams,95425,4,39
guardin,useless,153889,4,35
Looped Fan Sleep Noise,Pink Noise Sleeping Baby (All Night Looped),68426,3,35
ReauBeau,Not About You (feat. Robin),181725,4,31
Jon Keith,Where You Been,116975,4,23
Orbit Culture,Redfog,358749,4,33
Manic Street Preachers,International Blue - Demo,235733,4,3
Waterbed,Gemini,199577,4,13
Mishaal,Runaway,151602,4,36
Michael W. Smith,Something in My Heart,207653,4,32
Julian Lage,General Thunder,325678,4,30
Kultur,Ocean,229200,4,32
Until The Ribbon Breaks,One Match,237575,4,32
Cadell,Create A Career,246942,4,36
Late June,In Places,140330,4,32
Black Rebel Motorcycle Club,Circus Bazooko,342496,4,23
Onra,No Question ft. Pomrad,141144,4,30
DJ Nelson,"Micro Mixx, Vol. 8",596820,4,37
Powell,Yu No Dey Lie,217156,4,37
Nolan Koskinen,Do U Kno Da Wae,107591,4,30
Dempagumi.Inc,Ψ発見伝!,236842,4,35
Bettye LaVette,Things Have Changed - Radio Edit,238693,4,34
Conjunto Azabache,No Me Hablen De Ella,203990,4,34
Kiesza,Mother,213253,4,32
YellowStraps,Nights Up,238293,4,35
Clean Bandit,I Miss You (feat. Julia Michaels) - Joe Maz Remix,214857,4,30
Palatine,C'était un loup,220096,4,30
Chiquito Team Band,Punto y Aparte,190160,4,36
Yiruma,Eve,173494,4,39
All Sons & Daughters,Brokenness Aside,352027,4,30
Thunderstorm Sound Bank,Modest Rain & Thunder Sounds,69747,3,34
Snoop Dogg,I Don't Care (feat. LunchMoney Lewis),152709,5,30
Cast - Muppet Babies,The Lily Pad Blues,69893,4,32
shinigami,I Don't Need Ur Luv,111996,4,33
Ed Mount,Don't You Remember,221867,4,38
Naturistic,Paper Bag,128000,3,33
Mariangela Bettanini,"Io Senza Te, Tu Senza Me",209267,5,3
Lauren Sanderson,Conversations,147188,4,31
The Hook,Brand New,203280,4,13
Trillary Banks,Nobody Need To Know,233418,5,33
Konshens,Turn Me On,199213,4,37
En Espíritu Y En Verdad,Me Dice el Salvador,226253,3,39
Anna Bergendahl,Broken Melody - Acoustic,234107,4,43
Luna Luna,You and I,293738,4,31
Rajitheone,Brown Sugar,210373,4,3
Dear Rouge,Chains,197667,4,36
Taylor Davis,Perfect - Instrumental,230470,3,34
Anna Leone,Into the Cold,228547,4,31
Los Tucanes De Tijuana,Gente Del Cartel,199387,3,34
Ermal Fejzullahu,Fshatarja Ime (feat. Ledri Vula),158500,4,31
Rob Markman,Long Flight Home,211523,4,13
The Wandering Hearts,Wish I Could,176467,4,38
Maître Gims,PS,251640,4,23
Niña Pastori,La Habitación,250396,4,3
Steve Void,Comfortable [Kharmelo Remix],166000,4,23
Dan Romer,The Lights Will All Go Out,120092,4,23
Young Greatness,Doubt Me,181480,4,23
Byron Juane,2020 Acapella,190325,3,3
Aair,On a Clear Day,75031,4,34
GB9,If you,208064,4,31
Franke,Bad Tattoo - ZAXX Remix,186685,4,31
Tribulation,The Lament,336907,4,36
Geowulf,Drink Too Much,227603,4,31
Nitro Fun,keygen,266322,3,32
Elijah Who,sleep on it,117681,4,31
Monty Datta,What Do Normal People Do When They Get Sad,151909,4,39
Tory Ruperto,You and Me,245304,4,34
Darryl Williams,Do You Remember (feat. Michael Lington),254627,4,31
biosphere,Peach Tree,82963,4,30
Voz A Voz,Soy el Perdedor,217667,4,23
Girls With Short Hair,Malt Liquor,205009,4,33
Lovett,Monsters,102825,4,35
Lance Lopez,The Real Deal,203200,4,33
Freezy,Split In di Middle,139695,3,35
Angela Chang,沒離開過 (電影《南極之戀》全球推廣曲),306565,4,37
Rain Sounds,Forescast Rain,108904,4,36
SkysDarkerThanNight,Mad For No Reason,98795,3,32
KDtheSinger,Martin & Gina,200865,4,13
RoadRunningTeam,Keys to the Streets,99866,4,3
Scott Bradlee's Postmodern Jukebox,Alone,182415,3,30
Jeremy Passion,All Smiles,278387,4,30
Rikard From,Adrift,259504,4,32
Junkie XL,Remember This,206120,4,35
Smerz,Oh my my,158545,4,34
Moshe Peretz,היינו שניים,234146,4,37
Rosendale,Divine,183273,4,23
Phillip Larue,Chasing Stars,233386,4,35
Los Titanes De Durango,Hay Como Duele,211627,3,33
Jooyoung,Fountain,184720,4,31
DJ Licious,Twisted Games (feat. Jack Hawitt),191949,4,39
Lorenzo,Ohnanah,207500,4,36
Anthem Lights,"10,000 Reasons / What a Beautiful (feat. Caleb and Kelsey)",178190,4,32
GARNiDELiA,Aikotoba,262027,4,36
"You, Me, And Everyone We Know",Carolina Heat,196440,4,30
Teison,Lost in Paris,179838,4,31
Gentle Bones,7OVE YOU,181667,4,37
Yuleidy Brito,Como Vivir Sin Ti,167236,4,30
familypet,proud of me,216489,4,33
Scott Bradlee's Postmodern Jukebox,Chasing Pavements,208825,4,34
Vacations,In Retrospect,226592,4,31
916frosty,No Way,211530,4,35
Vincent Ingala,Personal Touch,224627,4,33
Elise Trouw,Line of Sight (Loop Version) [Live],226700,4,30
Soft,Imagine,187559,4,35
BRADIO,きらめきDancin',271465,4,31
Your Life & Mine,I Fall Apart,236143,4,33
warner case,Thereforeyou,240545,4,31
Joshua Moss,Mother Tongue,314000,4,37
Eyal Golan,האם להיות בך מאוהב,203078,4,37
Fateh,Gang Gang,238333,4,33
Brandon Jenkins,Be the Revival,234057,4,23
ionnalee,WORK,216653,4,34
LOYALS,Hold On,221199,4,31
Swayday,State of Undress,185047,4,33
Black Rebel Motorcycle Club,Calling Them All Away,405916,4,23
Magnify Worship,Hallelujah (Instrumental),388421,3,30
Donny,Just Let Me Know,106200,4,30
Gui Brazil,Im Here For a Reason (feat. Kaio Deodato & Sou.Za) - Mack Christopher Remix,191321,4,34
Lethal Bizzle,London (Remix),240000,4,35
Chris Dave and The Drumhedz,Dat Feelin',218750,4,31
Ben Woodward,Singing in the Rain,189391,4,30
Nick & Sammy,O.o.O(On or Off),220303,4,23
Tia,Deal with the devil - TV size,98467,4,34
Lea Love,Doctor,206039,4,23
Siddhartha Khosla,Blip On The Radar (Moonshadow),365250,4,30
Justin Stone,Potential,153857,4,30
Dasco,Whatever You Like - Radio Edit,165829,4,53
Louisa Wendorff,Stop This Fire,295926,4,31
Thunderstorm Sound Bank,Relaxing Nighttime Rain and Storms Sounds,68389,4,32
Thunderstorm Sound Bank,Refined Night Rain and Thunder Sounds,62824,5,32
Triple Ess,Don't Need a Reason,180029,4,30
Lena Raine,Exhale,140776,4,34
C Roy,Never,133333,3,34
Remmy Valenzuela,Espero Con Ansias - En Vivo,232067,4,39
frigo,Singularities,197122,4,3
Jekalyn Carr,It's Yours,418262,4,36
Anthem Lights,Dear No One (feat. Spencer Kane & Brooke),211690,3,32
GnuS Cello,Another Love - For Cello and Piano,251000,4,36
Rusty Cage,Write Me a Letter,323749,3,32
Han Dong Geun,After a day,218519,4,34
Waterbed,Wish Away,193761,4,3
SayMaxWell,Tide Goes Out (Remix),166737,4,30
Davina Michelle,In My Blood,167201,4,38
Hollie Cook,Angel Fire,250082,4,34
