artist_name,track_name,duration_ms,time_signature,popularity
Sou El Flotador,Fantasma,242396,4,14
Capo Plaza,Taxi,194387,4,54
Amun,So Cold,217059,4,4
Johnny Lee,"Regrets, Pt. 2",161584,4,4
Arild Aas,Far From You,279690,4,40
The Toys,04:00,226000,4,45
Lartiste,Grandestino,180667,4,44
Bettye LaVette,Things Have Changed - Radio Edit,238693,4,34
Conjunto Azabache,No Me Hablen De Ella,203990,4,34
Marwa Loud,Mehdi,165401,4,48
UMI,This Universe,188029,4,40
Hovvdy,Quitter,162797,4,24
Yiruma,Ribbonized,260919,4,40
Thunderstorm Sound Bank,Modest Rain & Thunder Sounds,69747,3,34
Los Remis,Aviso del Cielo,149333,3,24
HAIZ,Talking Shit,201423,4,14
Anna Bergendahl,Broken Melody - Acoustic,234107,4,43
Taylor Davis,Perfect - Instrumental,230470,3,34
PANKADON,Segredinho,158769,4,46
Los Tucanes De Tijuana,Gente Del Cartel,199387,3,34
Tru Real,COLLECTIONZ,199447,4,42
Marnik,Hymn (Till My Kingdom Comes),134457,4,49
Knuckle Puck,Wait,210688,4,24
Milo Heart,Exit,214946,4,48
Byron Juane,No Show Instrumental,190000,4,4
Remember Sports,Pull Through,196653,4,14
Aair,On a Clear Day,75031,4,34
Mattyyym,Asphyxia (Tokyo Ghoul:re),89681,4,24
Waterbed,River Song,384000,4,4
Хаски,Иуда,135728,4,40
Musicologo The Libro,Bum Ban Ven,196141,4,46
Wildstylez,Colours Of The Night,237575,4,48
Nursery Rhymes 123,Wind the Bobbin Up,112659,4,45
Tory Ruperto,You and Me,245304,4,34
The Wolfe Brothers,Congratulations,195936,4,24
Spanky Loco,Trucha,207893,4,14
Andy Stokes,Best Day Ever,217875,4,40
El Speaker,Medicine (feat. Antonella),166441,4,46
Riff Raff,Big Ballers (feat. Philthy Rich & Dolla Bill Gates),203906,4,14
Cro,Computiful - Carlifornia RMX,246984,4,47
El Fisico,Una Noche,190459,4,48
Smerz,Oh my my,158545,4,34
