artist_name,track_name,duration_ms,time_signature,popularity
Amarionette,Charm,199797,4,26
Khary,"The Intern, The Captain, and Khary.",204564,4,26
Fischerspooner,Everything Is Just Alright,171731,4,26
Juliana Hatfield,A Little More Love,218499,4,26
Korede Bello,Melanin Popping,195389,4,26
American Pleasure Club,there was a time when i needed it,171615,4,26
Future Of Forestry,Union,261267,3,26
ＮＯＳＴＲＡＤＡＭＵＳ,Under,110968,3,26
Joan Baez,Whistle Down The Wind,289440,3,26
ZZ Ward,Domino - Lars Stalfors Mix,170097,4,26
Los Remis,A Tu Salud,199133,3,26
Amarion,No Mas,180920,4,26
The Spacies,Fell in Love,266658,4,26
Vertical Horizon,Lighthouse,385591,4,26
Sarah Shook & the Disarmers,Parting Words,195173,4,26
American Pleasure Club,new years eve,133831,4,26
Phoenix Keyz,Wake Up - Phoenix Keyz RMX,229091,4,26
Nitrous Oxide,Golden Horizon - Original Mix,203696,4,26
Sister Hazel,Elements Part 1 (Abilene),71253,4,26
Leon Lour,All In,233397,4,26
Bandhunta Izzy,Murda Music,189573,4,26
Fazer,Akom,252418,4,26
Finger Family,Finger Family (Daddy Finger),171573,4,26
FelMax,Take It All (feat. 2down),167970,4,26
BbyMutha,D.O.T.D.,173923,4,26
Angelina Lavo,The Power,244663,4,26
Kings Kaleidoscope,Safe Retreat (Instrumental),282163,4,26
Cheat Code,Back to Back,135419,4,26
Ray Volpe,Showtime,216800,4,26
Hanni El Khatib,Black Constellation,211533,4,26
Matthew Chaim,Passion Soda,232213,4,26
Paul Wall,Po Out A Lil Drank,192010,4,26
Milestones,Liar,189720,4,26
WE ARE FURY,Ascension,234362,4,26
Edd Muter,Dragones,179632,4,26
Luke Mitrani,High,266987,4,26
BANDA TIERRA MOJADA,A Tu Lado,165795,4,26
Kade Fresco,On My Own (feat. Lil Baby),232488,4,26
Roostz,Fall Again,150006,4,26
Mev_n,Elevator Interlude,32014,4,26
Topaz Jones,Cotton Fields,181500,4,26
Indiana Bible College Choir,Speak the Name,354941,4,26
Lauren Ruth Ward,Did I Offend You?,195740,4,26
Acid Dad,Die Hard,176977,4,26
Coopex,All I Want,226091,4,26
Sarah Shook & the Disarmers,What It Takes,221773,4,26
Lo Moon,Camouflage,263413,4,26
Erika Wennerstrom,Letting Go,299240,4,26
David Osborne,Goodbye Yellow Brick Road,179023,4,26
Amelie Sonnenberg,The Scientist,107102,4,26
Mimicking Birds,Dust Layers,274320,4,26
Ludwig van Beethoven,"Piano Sonata No. 14 In C Sharp Minor, Op. 27, No. 2 -""Moonlight"": 3. Presto agitato",445160,4,26
Cho Eunae,Grown Up,227521,4,26
Junoflo,Undercover,193873,4,26
Roberto Junior Y Su Bandeño,Bella,184000,4,26
The Wolfe Brothers,Country Heart,224187,4,26
Michael W. Smith,Your Love,235545,4,26
Loma,Dark Oscillations,337413,4,26
Nightcore,Oasis,148102,4,26
Divide,Victory (Fortnite),252413,4,26
Sean Price,Sudden Impact,170429,4,26
Cory Henry & The Funk Apostles,Trade It All,410333,4,26
Avatar,Silent Songs of the King Pt. 1: Winter Comes When the King Dreams of Snow,214005,4,26
Trevor Lanier,Who Are You,150570,4,26
Chad Graham,Who Am I / Praise You in This Storm,179966,4,26
Within Destruction,Downfall of Humanity,230660,4,26
Koresma,Forest Sang - Good Lee Remix,240907,4,26
Work Drugs,Miami Nights,220989,4,26
Kathleen Madigan,I Ruined Christmas,85152,4,26
Londrelle,A Beautiful Mess,272000,4,26
Idowest,Shepeteri,239160,4,26
Miracle Of Sound,Place in Nature,182833,4,26
Sunnery James & Ryan Marciano,I'll House You,192000,4,26
Ed Schrader's Music Beat,Dunce,234568,4,26
Knoc-Turn'al,Knoc's Ville (feat. One-2),167400,4,26
Franax,VS,240000,4,26
Taysav,The Lake Show,151902,4,26
Chris Wright,Deceived,148140,4,26
Vayb,Poto,317669,4,26
Breakup,Something Real,223891,4,26
Kathleen Madigan,Confession,96100,3,26
Sarah Shook & the Disarmers,Lesson,165147,4,26
ADEN x OLSON,Cloud 9 - Felix Jaehn Remix,182369,4,26
Mike Posner,Charts,58747,4,26
Bridie Madinger,Manual Dream,164023,4,26
Charlie Cruz,Tengo Miedo (2018),233588,4,26
Eelke Kleijn,The Method - Original Mix,446569,4,26
Indiana Bible College Choir,King of Glory,498915,3,26
Kathleen Madigan,Civil War Again,104106,3,26
Shawn McDonald,Place of My Own,191547,4,26
Derek Pope,Levels,175833,4,26
Amazen King Roe,I Vibe Different,158656,4,26
The California Honeydrops,Starr Child,391187,4,26
Northlane,"Worldeater - Live in Brisbane, Australia",228840,4,26
Steep Canyon Rangers,Can't Get Home,209515,4,26
Greyhaven,Kappa (River Child),173173,4,26
goosetaf,melatonin,137143,4,26
Gerardo Coronel,420 Marca El Reloj,176035,4,26
SMH Records,Famous,224787,4,26
SUPER JUNIOR-D&E,Circus,223671,4,26
Jayme Toudle,Who Killed the Intensity,305607,4,26
