artist_name,track_name,duration_ms,time_signature,popularity
N8N,Sign Ur Name,254485,4,12
Christopher Lennertz,Flowers / Father and Son,212813,4,12
Lil Duke,I'm Gettin' Paid (feat. Lil Baby),156767,4,12
Sou El Flotador,Trap Queen,266653,4,12
Generation,Cheapskate,135941,4,12
Antioch Live,God of the Breakthrough,243089,4,12
Christopher Lennertz,Ultimate Sacrifice,234587,3,12
Arisq,Patron,206375,5,12
The Coathangers,Gettin’ Mad and Pumpin’ Iron,98909,4,12
Wesley Cheatham,99 Overall,188638,4,12
Gundelach,Control,265320,4,12
p0gman,Dem Boi's,192000,4,12
Alex Leavon,The Void Above (ASOT 857),249010,4,12
Night Water Project,"Nerevar Rising (From ""The Elder Scrolls III: Morrowind"")",115125,3,12
Reezy,Late Nights Early Mornings,206772,4,12
Dilli Jinn,어쩌다보니,213573,4,12
Charmer,Topanga Lawrence,196000,4,12
Tom Fall,Divergent (ABGT277),226615,4,12
Fatum,Violet (ASOT 857) [Tune Of The Week],266770,4,12
Jam Da Bass,Get Ready And Dance (We Love Trance 2018 Anthem) [ASOT 858],233260,4,12
Sophia Lucia,Ain't Gonna Play (feat. Theweiszest),209554,4,12
ADN,How To,188066,4,12
Sera Cahoone,Dusty Lungs,167535,4,12
Sera Cahoone,Worry All Your Life,269969,4,12
Allan Kingdom,Game Over,160321,4,12
Turk Beezy,All I Ever Wanted,145588,4,12
BandGeeks,Pull-Out Game,63399,4,12
Hundred Handed,Favorite Flavor,179589,4,12
2BiC,Wish,227086,4,12
Shrimpnose,tatters,124000,4,12
Shrimpnose,[sleeping/suicide],73000,3,12
Kelechi,Don't Fuck It Up,262286,4,12
Ultimate Rejects,Day Ones,186923,4,12
Loreena McKennitt,A Hundred Wishes,274893,4,12
First State,Everywhere,208182,4,12
Jay Worthy,Go Get It (feat. Deltrice),195000,5,12
The Family Crest,Never Gonna Stop,242711,4,12
Alan Silvestri,Orb of Osuvox,224960,4,12
Club des Belugas,Fire,235110,4,12
Nonchalant Savant,vino,219281,4,12
Hi-Tone,Workin',179105,4,12
Tommy Emmanuel,Djangology,206034,4,12
Nesta,Benjis,191881,4,12
Buknas De Culiacan,La Captura Del Paisa (En Vivo),208497,4,12
Frainbreeze,I Pray (ASOT 857) - Ahmed Helmy Remix,195760,4,12
Lyrics Born,Do That There,218408,4,12
Jacob Plant,Eastside (feat. Soren Bryce) - Mason Maynard Remix,402581,4,12
The English Beat,How Can You Stand There?,244914,4,12
Erik Satie,Le fils des étoiles: Prélude du premier acte (La vocation),236893,4,12
Lil Cray,Uninspired,184189,4,12
Vibe,Sent,126704,4,12
Q Money,Knot (feat. Money Man),216816,4,12
Qawi Kamri,Who Do You Think You Are,232932,4,12
Surf Gvng,Do It Again,255152,4,12
Name UL,Time To Win,200000,4,12
KG,All Black,314286,4,12
TTO K.T.,Yeah X3,257045,4,12
Belly,Stars Align,217640,4,12
This Rigid Empire,Ridin on My Lapras,200952,4,12
Carlo Lio,Mainframe - Original Mix,394961,4,12
Johann Sebastian Bach,"Lute Suite in E Minor, BWV 996 (Arr. M. Poll for Guitar): Ib. Presto",76325,3,12
Alan Silvestri,Sorrento Punked,237000,4,12
Aniceto Molina,Dejala Que Llore,168751,4,12
X:TIME,Spotlight,207424,4,12
Nicolay,Now The Coast Is Clear,248616,4,12
Tyler Schauman,Ais (ABGT275) - PROFF Remix,286093,4,12
Utopia Finite,Pop,110282,4,12
Shamir,Caballero,211200,4,12
Stylez Major,Soldier on (feat. Breana Marin),234800,4,12
Aniceto Molina,El Vacilón,176797,4,12
Osmo,Party Up (feat. Spencer Ludwig) [VETA Remix],277538,4,12
Sharif,One Life,185835,4,12
Johann Sebastian Bach,"Lute Suite in E Minor, BWV 996 (Arr. M. Poll for Guitar): II. Allemande",187997,4,12
Kenny Muney,Ion Know,183360,4,12
