artist_name,track_name,duration_ms,time_signature,popularity
ZieZie,Fine Girl,163001,4,69
Amarionette,Charm,199797,4,26
Jah Khalib,Letnie tayny,211765,4,36
Khary,"The Intern, The Captain, and Khary.",204564,4,26
Mishaal,Runaway,151602,4,36
Fischerspooner,Everything Is Just Alright,171731,4,26
Juliana Hatfield,A Little More Love,218499,4,26
Ghasper,Pipa,223086,4,16
Cadell,Create A Career,246942,4,36
Korede Bello,Melanin Popping,195389,4,26
American Pleasure Club,there was a time when i needed it,171615,4,26
Chiquito Team Band,Punto y Aparte,190160,4,36
Future Of Forestry,Union,261267,3,26
ＮＯＳＴＲＡＤＡＭＵＳ,Under,110968,3,26
Joan Baez,Whistle Down The Wind,289440,3,26
Dear Rouge,Chains,197667,4,36
PANKADON,Segredinho,158769,4,46
Gabriel Diniz,A Casa Chora - Ao Vivo,179571,4,65
Lou,Beaten,256699,4,6
Homeboy Sandman,#NeverUseTheInternetAgain,217413,4,16
Musicologo The Libro,Bum Ban Ven,196141,4,46
Tribulation,The Lament,336907,4,36
BrandedBracnh,Get Money By Any Means,103445,4,6
El Speaker,Medicine (feat. Antonella),166441,4,46
Rain Sounds,Forescast Rain,108904,4,36
ZZ Ward,Domino - Lars Stalfors Mix,170097,4,26
Los Remis,A Tu Salud,199133,3,26
Chase,Old Habits,207378,4,16
Joseph Amuletos La Banda,Estoy enamorado,208519,4,16
Tedua,La legge del più forte,187053,4,60
Lorenzo,Ohnanah,207500,4,36
GARNiDELiA,Aikotoba,262027,4,36
Amarion,No Mas,180920,4,26
Night Verses,Copper Wasp,291615,4,16
The Spacies,Fell in Love,266658,4,26
Vertical Horizon,Lighthouse,385591,4,26
Sarah Shook & the Disarmers,Parting Words,195173,4,26
American Pleasure Club,new years eve,133831,4,26
Johannes Brahms,"Feldeinsamkeit, Op. 85",156512,4,16
Eric Champlin,Silence,190809,4,16
Jekalyn Carr,It's Yours,418262,4,36
Phoenix Keyz,Wake Up - Phoenix Keyz RMX,229091,4,26
GnuS Cello,Another Love - For Cello and Piano,251000,4,36
Nitrous Oxide,Golden Horizon - Original Mix,203696,4,26
Acres,Room for Us,94873,3,6
Bangerz,Doper,118701,4,16
Sister Hazel,Elements Part 1 (Abilene),71253,4,26
