artist_name,track_name,duration_ms,time_signature,popularity
Bettye LaVette,Things Have Changed - Radio Edit,238693,4,34
Conjunto Azabache,No Me Hablen De Ella,203990,4,34
Thunderstorm Sound Bank,Modest Rain & Thunder Sounds,69747,3,34
Taylor Davis,Perfect - Instrumental,230470,3,34
Los Tucanes De Tijuana,Gente Del Cartel,199387,3,34
Aair,On a Clear Day,75031,4,34
Tory Ruperto,You and Me,245304,4,34
Smerz,Oh my my,158545,4,34
Scott Bradlee's Postmodern Jukebox,Chasing Pavements,208825,4,34
ionnalee,WORK,216653,4,34
Gui Brazil,Im Here For a Reason (feat. Kaio Deodato & Sou.Za) - Mack Christopher Remix,191321,4,34
Tia,Deal with the devil - TV size,98467,4,34
Lena Raine,Exhale,140776,4,34
C Roy,Never,133333,3,34
Han Dong Geun,After a day,218519,4,34
Hollie Cook,Angel Fire,250082,4,34
Thunderstorm Sound Bank,Relaxing Night Rain Storms Sounds,61362,4,34
The Ugly Kings,Black Widow,233562,4,34
"Kitty, Daisy & Lewis",Suspicion,229784,4,34
Park Ji Yoon,Coming of Age Ceremony,178313,4,34
Rook1e,Hues of Sunset,68438,4,34
"Wake Up, Girls!",スキノスキル,261520,4,34
RIRI,That's My Baby,195693,4,34
Antoine Bradford,Loving Kind,226138,4,34
The Wiggles,Aiken Drum,136471,4,34
Wynton Marsalis Septet,I'm Gonna Find Another You,164085,3,34
Suigeneris,Decline (feat. OHNO),146477,4,34
$ubjectz,GangShit,138000,4,34
June,Lonely (Feat. Jung jin woo),253557,4,34
Joey Trap,Vision,140939,4,34
WJSN,잘 부탁드립니다,220331,4,34
Buddy Brown,Deer Camp,221413,4,34
Park Boram,Will Be Fine,229060,4,34
Milk & Bone,KIDS,192707,4,34
Super Duper,Flower,163636,4,34
Thunderstorm Sound Bank,Foggy Thunderstorm Sounds,61962,4,34
Koven,Another Home - VIP Mix,288103,4,34
Eric Darius,Dare 2 Dream,237006,4,34
Casey Malanuk,Camaraderie,221351,4,34
El Mayor Clasico,Abanico,197493,4,34
JayO Sama,You Sleep,194978,4,34
Cliff Lin,Pioneers Of The Apocalypse,159444,4,34
Thunderstorm Sound Bank,Hurricane Sounds,61518,3,34
Joey Trap,New Plate,137797,4,34
PNTHN,CHUMBUCKET,237000,4,34
Scott Bradlee's Postmodern Jukebox,Every Breath You Take,200360,3,34
Michael Feel & Aleco,TIME,228750,4,34
Nightmares On Wax,Citizen Kane,240240,4,34
Midnight Danger,Stranger Days,313858,4,34
The Reckless Electric,Ice Cream and Liquor,206729,4,34
The Rain Library,Deep Rain,133413,0,34
Bicep,Rain - Edit,239945,4,34
The Orb,Doughnuts Forever,210043,4,34
Anna von Hausswolff,"The Truth, The Glow, The Fall",727555,3,34
INFINITE,Why Me,314215,4,34
Savoy,Don't Quit Me Now,186514,4,34
Saxon,They Played Rock And Roll,219907,4,34
Luke,Scarred,206054,4,34
Percance,Así,183893,4,34
Chiquito Team Band,Tengo Que Colgar,220667,4,34
Shayne Orok,Instagram,254202,4,34
GnuS Cello,Next to Me - For Cello and Piano,228000,4,34
Banda Corona del Rey,Ni el Dinero Ni Nada (En Vivo),154500,4,34
Angger Dimas,Give It All Up,206297,4,34
guardin,flatline,165750,4,34
Thunderstorm Sound Bank,Irresistible Rain & Storms Sounds,69590,3,34
Gentle Whispering,Fluffy Sleepy Whispers,2097245,3,34
Shakira,Waka Waka (This Time for Africa),203693,4,34
Devan,Roots,190003,4,34
Los Tucanes De Tijuana,Gonzalo Inzunza,197907,3,34
Slim Wednesday,Reptile Show,328093,4,34
shogonodo,Lullaby,108686,4,34
Los Tucanes De Tijuana,Comandante Metro 3,273307,3,34
Adrian Stresow,Can't Help It,207391,4,34
Planetshakers,Above All Names - Live In Asia,513897,4,34
Kg Prince,Kloud Flow 4 (feat. Joey Trap),97481,4,34
Jeff Russo,Survivor List,153107,4,34
AmaLee,Gravity Wall (Re:Creators),221538,4,34
Dmitri Shostakovich,"The Gadfly Suite, Op. 97a: 10. Nocturne - Live",303371,4,34
Brad Mehldau,After Bach: Rondo,501013,4,34
Instupendo,Clementine,217570,4,34
Emigrant,Specter Woman,192000,4,34
Emigrant,Storms,240000,4,34
Dimension,Raver,182069,4,34
ASIAN KUNG-FU GENERATION,A Flower Named You,370653,4,34
Onlap,Motivation Song (English Version),224579,4,34
De Rasta,Kro Koh,149420,3,34
Average White Band,Shower the People,261603,4,34
DYGL,Bad Kicks,158011,4,34
DJ Okawari,Flower Dance Pt.2,250387,4,34
Svrcina,Astronomical,172800,4,34
Sons Of Kemet,My Queen Is Albertina Sisulu,314693,3,34
GIWON,Don't Wanna Lose You,235533,4,34
Loma,Black Willow,317627,4,34
Kotori,Yandere (feat. Nine Callisto),241664,4,34
Caitlyn Scarlett,Ornaments,192000,4,34
Quruli,その線は水平線,341427,4,34
Smyang Piano,Nostalgia,152727,3,34
Ruel,Don't Tell Me - IAMNOBODI Remix,241500,4,34
Olly Wall,Lost Heaven,180513,4,34
AC Slater,Dope Boy,291000,4,34
Myuu,"To Zanarkand (from ""Final Fantasy X"")",180961,3,34
Jah Khalib,BRN,195233,4,34
Matteo Myderwyk,Ab major,206564,4,34
Banda la Querendona de los Hermanos Carrillo,El Cóndor Pasa y Jinetes en el Cielo,235976,4,34
Zach Berkman,Where the Wind Blows,167199,4,34
Covex,Wildfire,197813,4,34
GEOTHEORY,CLEOPATRA,221168,4,34
Jahsh Banks,Nite Life,224186,4,34
Midranger,I'll Be There,192107,4,34
Aiobahn,Islands,185625,4,34
ionnalee,DUNES OF SAND,284840,4,34
Naked Giants,Everybody Thinks They Know (But No One Really Knows),142867,4,34
BAND-MAID,Spirit!!,221526,4,34
Jesús & Yorky,Cuando Te Miro,209846,4,34
