artist_name,track_name,duration_ms,time_signature,popularity
TRU Concept,Save Me,195898,4,52
Skinz,Malibu - Le Boeuf Remix,202373,4,52
Ufo361,Gewinn,180088,4,52
Fredi Leis,Sálvate,243666,4,52
Zuna,Ayé,181492,5,52
Bad Gyal,Candela - Prod. Dubbel Dutch,196754,4,52
Sandro Silva,Running Back,159800,4,52
Marcus & Martinus,Dance With You,201653,4,52
Nines,Trapstar,214307,4,52
Noyz Narcos,Sputapalline (feat. Coez),199160,4,52
Vegas Jones,Bellaria,177960,4,52
Gemitaiz,Questa Qua,172381,4,52
Vald,Offshore,206747,4,52
TACONAFIDE,Ekodiesel,218987,4,52
TACONAFIDE,Kryptowaluty,276173,4,52
Sofiane,Madame Courage,277627,4,52
Moha La Squale,M'appelle pas mon frérot,149160,4,52
Ruel,Golden Years - M-Phazes Remix,234293,4,52
Marcus & Martinus,Like It Like It,174640,4,52
Mula B,Gang (feat. 3robi),183626,4,52
Jayh,"Fluister (feat. Dopebwoy, Jonna Fraser & Zefanio)",182553,4,52
Djadja & Dinaz,Non non,193956,4,52
Therapie TAXI,Cadence,175280,4,52
Carlos Sadness,Longitud de Onda,202546,4,52
Paperfiends,Real Me,98717,4,52
Paperfiends,Look Out for MySelf,97515,4,52
Amaia Romero,City Of Stars,148893,4,52
Vale Lambo,Perchè,223729,4,52
Rampa,Muyè - Black Coffee Remix,581403,4,52
Eirian Music,Agarrando Vuelo,179343,4,52
Dwin,Cityyyyyy Lifeee,183370,4,52
1Kilo,Deixe-Me Ir - LIVA Remix,285261,4,52
Roméo Elvis,Dessert,188134,4,52
Marlon,Marzo en febrero (feat. Ana Fernandez),202177,3,52
Andhim,Miles to Go,333330,4,52
Oskar Linnros,Wifi - Remix,185640,4,52
Bausa,Belle Etage 2.0 (feat. reezy),241854,4,52
Namika,Je ne parle pas français feat. Black M - Beatgees Remix,238147,4,52
M Huncho,Mediocre,190224,4,52
Aislin Evans,Feel About You,200471,4,52
Eddy de Pretto,Mamere,198693,4,52
MARS,jeg bruker ikke kondom,183253,4,52
Diego & Arnaldo,Te Assumo,201699,4,52
Class A,Por nós,159425,4,52
Pulsedriver,One to Make Her Happy,162000,4,52
Madman,Mickey Rourke,233023,4,52
Teqkoi,Please Come Back,121522,4,52
Madman,Ciò Che Fa Per Me,166250,4,52
RIN,Aretha Franklin Freestyle,184587,4,52
