artist_name,track_name,duration_ms,time_signature,popularity
DJ Nelson,"Micro Mixx, Vol. 8",596820,4,37
Powell,Yu No Dey Lie,217156,4,37
Konshens,Turn Me On,199213,4,37
Angela Chang,沒離開過 (電影《南極之戀》全球推廣曲),306565,4,37
Moshe Peretz,היינו שניים,234146,4,37
Gentle Bones,7OVE YOU,181667,4,37
Joshua Moss,Mother Tongue,314000,4,37
Eyal Golan,האם להיות בך מאוהב,203078,4,37
Fareoh,Famous,165799,4,37
Нюша,Ночь,211017,4,37
Ernie D,Legend,255713,4,37
Jexal,Ve Y Dile a El,240000,4,37
Beneath The Silence,Hate Me,289753,4,37
Jonny Glenn,All Fall Down,178286,4,37
KIN,It's Cool,199702,4,37
Jah Khalib,DZL,178462,4,37
Yang Da Il,Cinematic Love,269162,4,37
Matt Fella,Enough,188182,4,37
Park Boram,"Please, Stop Me",197400,4,37
Davina Michelle,I Don't Think About You,121250,4,37
Luttrell,Wake Me Up Tomorrow,292000,4,37
WANIMA,JUICE UP!!のテーマ,113988,4,37
Amber Olivier,Come To Me,170584,4,37
SOYOU,My Blossom,219836,4,37
Michael Brondstetter,Let It Go,256581,4,37
Manast LL',What You Sayin’,180000,4,37
Rachel Gavaletz,IDGF,231756,4,37
Kingen,Bring That Money Honey,170427,4,37
Hidden Citizens,I Ran (So Far Away) - Danny Olson Remix,221143,4,37
Simpson Ahuevo,Corre,225000,4,37
Spectrum,Home (feat. Ria Choony),200250,4,37
El Makabelico,El Max (Versión 1),242342,4,37
En Espíritu Y En Verdad,Espíritu Santo,452354,4,37
ASIAN KUNG-FU GENERATION,Yoru Wo Koete,281267,4,37
Audiomachine,Watch the World Burn,172698,3,37
Fonzi M,"Michishirube (From ""Violet Evergarden"") [Ending]",93000,4,37
Mike11,My Tata (feat. Jeremih),228444,4,37
Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - Camelphat Remix",186433,4,37
Johanna Warren,Hopelessness Has Done Nothing for Me,196406,4,37
En Espíritu Y En Verdad,Tu Eres Santo,370233,4,37
Diamond Platnumz,Waka,194800,4,37
JVNA,"Weight of the World (From ""NieR: Automata"")",266945,4,37
AMG Studios,All Night Long,214800,4,37
Trapboy Freddy,"6 Pick (feat. Go Yayo, G$ Lil Ronnie, Slezzy Bezzy, Yella Beezy & Lil Cj Kasino)",207282,4,37
Davina Michelle,The Middle,165139,4,37
Frédéric Chopin,"Polonaise-fantasie in A-Flat Major, Op. 61",753173,4,37
Leo Ku,子華說,292710,4,37
Shmueli Ungar,Mach a Bracha!,239596,4,37
Mora,Dame una Señal,186667,4,37
Gervs,Emotions,264000,4,37
YMR NIG,Sebede,208039,4,37
Fayz Mask,Deep Cut,188918,4,37
Julia Samoylova,I Won't Break,179363,4,37
Bicep,Helix,309658,4,37
Poppy Ajudha,She Is the Sum,223286,4,37
Fern.,Wanna Dance with You,244320,4,37
Goddesses of Bagpipes,Shipping up to Boston / Enter Sandman,199796,4,37
Harold van Lennep,Clarity,208962,4,37
94stones,Bardock Theme,151250,4,37
Haley Blais,House Before the Party,117391,4,37
Clamavi De Profundis,Lament for Boromir,434473,4,37
Minthaze,Astroworld,152694,4,37
Jonathan Wilson,There's a Light - Acoustic Version,270813,4,37
Marco B.,Unravel,202698,4,37
Remmy Valenzuela,Algo Más - En Vivo,254973,4,37
Rome in Silver,Too Much,252000,4,37
Alice Phoebe Lou,Devil's Sweetheart,272292,4,37
Scene Writers,Real Life Baby (Scene Writers vs. Cookin' on 3 Burners),201867,4,37
Remmy Valenzuela,Te Olvidaré - En Vivo,271333,3,37
José Madero,Willkommen,166200,3,37
Cicada Rhythm,America's Open Roads,165267,4,37
Septeto Acarey,Tu Eres Mi Sueño,303125,4,37
Juicy Cola,Young & Wild,167021,4,37
DJ Blyatman,Metro,262648,4,37
CalledOut Music,I Am Free,222692,4,37
Marmozets,Lost In Translation,219960,4,37
The Magician,Las Vegas - Vladimir Cauchemar Remix,223187,4,37
Brunelle,Ladykiller,194310,4,37
FLGTT,Ecuador 2K18 - Radio Edit,204380,4,37
iLOVEFRiDAY,SKiRT,147748,4,37
Ivory Rasmus,Not Holding Back,167500,4,37
KLIM,Ninetofive,171000,4,37
916frosty,In My Heart,204281,4,37
Baltic House Orchestra,Jurassic World: Fallen Kingdom (Main Trailer Theme),95317,4,37
Redrose,Serene Moments,164016,4,37
The Jungle Giants,Feel the Way I Do (Northeast Party House Remix),373039,4,37
Leo Stannard,Gravity,183101,4,37
The Coasters,Down in Mexico - Remastered,206921,4,37
Lebanon Hanover,Alien,288831,4,37
Los Acme,Dura Moombahton Remix,176843,4,37
Oklou,Friendless,352893,4,37
Air Supply,The Power of Love (You Are My Lady),248213,4,37
convolk,a million messages; no response,116447,4,37
Beowülf,I Feel So Alone,87223,4,37
Fvck Error,Lean Bunny,218182,4,37
Gente De Zona,Con La Ropa Puesta,224493,4,37
The Spacies,Hesitate - ToWonder Remix,188732,4,37
José Madero,Carrusel De Adultos,217973,5,37
Callalily,Litrato,251077,4,37
Cloud 9+,Hide the Pain,201892,4,37
Los Amos De Nuevo Leon,Pendejo Enamorado,112222,4,37
HA:TFELT,Cigar,238809,4,37
Niccolò Paganini,"Paganini: 24 Caprices, Op. 1: No. 5 in A Minor",189942,4,37
Fano,Ella Lo Sabe,193435,4,37
El Pekeno,Te Boté - Mambo Version,208922,4,37
IMFACT,The Light,191661,4,37
Michael McDonald,Sweet Freedom - Live,323760,4,37
Amber Leigh Irish,Supermarket Flowers - Acoustic,179000,4,37
Bali Baby,Futurama,111491,3,37
boerd,Blind - Radio Edit,224221,4,37
Juan Gabriel,Más Que Amor,268920,4,37
Simple Plan,Perfect - Acoustic Version,247387,4,37
Stylo G,10 Metric Ton,177600,4,37
Ninel Conde,Me Complace Informarte - Con Banda,183267,4,37
Small Town Titans,Spoonman,250437,4,37
Her,Good Night,382400,3,37
Pomplamoose,You Make My Dreams,177750,4,37
9tails,School Friends,174400,4,37
Long Distance Calling,Out There,551498,4,37
Etherwood,Climbing - Radio Edit,225028,4,37
mor ve ötesi,Sultan-ı Yegâh,237585,4,37
Chorale,Tää Ilta,237807,4,37
Cort Carpenter,Holy Ground,194649,4,37
Mr. Saik,La Chama,210720,4,37
Neutro Shorty,Lento,242788,4,37
Nanbit,Tube Rush,121400,3,37
Swing Republic,Long Legs,185067,4,37
We Rabbitz,My Immortal - Acoustic,202737,3,37
Manuel Felix,Somos Gente De Zambada,192029,3,37
Freddie Dredd,Who Is Freddie Dredd?,102478,4,37
Air Supply,Lonely Is the Night,248307,4,37
B Wise,The Key,204061,4,37
Ella Fitzgerald,Isn't This A Lovely Day?,376347,4,37
None Like Joshua,"My Hero Academia Rap (From: ""Boku No Hero Academia"")",211221,4,37
RQ,Hold On,178736,4,37
Conkarah,Perfect,255450,4,37
Code Black,Before You Go,209600,4,37
Django Reinhardt,September Song,185483,4,37
falcxne,Slowly,199346,3,37
Drama Duo,Hopes Up - BAILE Remix,333283,3,37
Ella Fitzgerald,Moonlight In Vermont,222600,4,37
Ella Fitzgerald,They Can't Take That Away From Me,279533,4,37
Rihanna,Love On The Brain,224229,3,37
Darassa,Muziki,179827,4,37
Brooklyn Duo,Perfect,268862,3,37
Delta Jack,Broken Youth,175856,4,37
Adrian Stresow,Vertical,192756,4,37
Su Presencia,Mashup Espíritu Santo: Espíritu Santo / Llenos del Espíritu,305635,4,37
Gerald Ofori,Timezones,258413,4,37
Melody Gardot,So Long - Live,335053,4,37
Lucys,4-U,225000,4,37
Jakob Ahlbom,Approaching Spring,230936,4,37
Ella Fitzgerald,Cheek To Cheek,353240,4,37
NOIR,GANGSTA,206641,4,37
letherette,Woop Baby,127731,4,37
Laura Pausini,Francesca (Piccola aliena),211000,3,37
MO3,Numbers,225985,4,37
Matt Johnson,This Is Me - Acoustic,152976,1,37
Anexo Leiruk,Frito,185301,4,37
J Alvarez,Junto al Amanecer - Remix,273907,4,37
El Alfa,Un Papi Que la Mima,242498,4,37
Umi Copper,All,232890,4,37
AzChike,What's Next,149838,4,37
Mrs. GREEN APPLE,"Love me, Love you - ENSEMBLE Version",319520,4,37
Mrs. GREEN APPLE,They are,329720,4,37
Sleeping Music Experience,Sleeping Music and Ocean Waves,125700,4,37
Davina Michelle,Stargazing,132924,4,37
La Sonora Santanera,Si Supieras (feat. Orquesta de Cuerdas) - En Vivo,217440,4,37
Lazy Jay,Float My Boat - Bougenvilla Remix,161261,4,37
The Mauskovic Dance Band,Down in the Basement,306777,4,37
Gent Fatali,Rakia,173035,4,37
The Magic Gang,"Oh, Saki",213587,4,37
Imaginary Future,As Long as I Have You I'm Home,213396,4,37
Christine Fan,兩個人的同學會,245000,4,37
Fonzi M,"Torikago (From ""Darling in the FranXX"")",218772,4,37
Ball Park Music,The End Times,247190,4,37
Lil Dude,Trap Life,314697,4,37
Tomorrow People,Whangai Aroha (DWFI - Maori),220570,4,37
Wallice,Rx,250733,4,37
Sam Bruno,So What (feat. Rockie Fresh) - Sophie Francis Remix,290382,4,37
Victor Russo,Si Somos Novios o Somos Panas,228000,4,37
Cruz Cafuné,Cuenta Conmigo,212863,4,37
Миша Марвин,Нравится мне,226050,4,37
Gustavo Palafox,El Carlingas,201778,4,37
awfultune,All the Luv In My Sick Heart,121903,4,37
Spector,Untitled in D,171213,4,37
GusGus,Don't Know How to Love,311795,4,37
Smiler,Gangsta,162534,4,37
Neutro Shorty,Infieles,252019,4,37
Conkarah,Shape of You (feat. Crysa),263010,4,37
BLUE ENCOUNT,VS,216893,4,37
Yung Nugget,In the Kitchen,93179,4,37
Bad Gyal,Candela,196754,4,37
Nedeljko Bajic Baja,Sta ti fali kad ti nista ne fali,324418,4,37
The Griswolds,Somebody Else (Acoustic),252551,4,37
Plus Minus,Shine,198755,4,37
Rauw Alejandro,Anoche,220709,4,37
VTB,Reach,204069,3,37
Swings,Jon Snow,163627,4,37
FAR,I Don't Really,254973,4,37
Francisco Céspedes,Soplo de Vida,262172,4,37
Lobster Bologna,Pale Bread,33000,4,37
Zayed Hassan,Symphony For A Longing Heart,229369,4,37
Kidaf,GRABBA,145672,4,37
Kayden,I Found You,195849,4,37
BRDGS,All My Friends,191158,4,37
rkm,Chemicals,184225,4,37
Steve Tyssen,Send Me Away,202312,3,37
Smyang Piano,Crystal Snow,426466,4,37
Bebo Backwoods,Fuego,211775,4,37
Frijo,Esa Chica,186201,4,37
Chus & Ceballos,The Sun,507380,4,37
Conkarah,As Long as You Love Me,191368,4,37
Alela Diane,Never Easy,223787,4,37
HoneyComeBear,SpaceJellyfish - クラゲ,273375,4,37
Mok Saib,Je m'en fous,219900,4,37
Maelo Ruiz,Quién Te Enamoró,264411,4,37
Yogee New Waves,Bluemin' Days,259040,4,37
Danheim,Ulfhednar,261732,4,37
Jireel,Fast,177653,4,37
Audio Dope,Never Let Her Go,217633,4,37
Kuur,Lost & Found (feat. William Yang),231274,4,37
Kadayam,Ambitions Came Too Late,183877,4,37
Kadayam,Hospitality Doesn't Stop,167472,4,37
Kadayam,Rejections Are Too Much To Ask,166244,3,37
