artist_name,track_name,duration_ms,time_signature,popularity
Aash Mehta,Going Numb,236242,4,28
Cryptic Wisdom,Look Alive,210854,4,28
Evidence,Moving Too Fast (feat. Catero),92453,4,28
The Feels,Dream On (feat. Beatrich),254787,4,28
Kathleen Madigan,Malaysian Flt 370 Pt. 1,175596,3,28
Karuna Satori ASMR,Sleep Clinic Part 3,234057,1,28
Gin Wigmore,Cold Cave,252613,4,28
Joey Dosik,The Night Before …,91159,4,28
Kathleen Madigan,"The Villages, Florida",204177,3,28
YoungMin You,The Greatest Showman Piano Medley (All Songs),351184,5,28
Damian Wyldes,Disengage,335872,1,28
DOM,More,195115,4,28
Ryan Bingham,Radio - Live,312933,4,28
Celtic Thunder,Sons of Light,312507,3,28
Netherfriends,This Is What I Want Now,109845,5,28
Jesse Daniel Smith,Dammit,239140,4,28
Vayb,Fo'm alé,330422,4,28
We Were Sharks,Always You,203513,4,28
Retrovision,Dancin',174270,4,28
Rob Curly,Conclusions,161280,4,28
Evidence,What I Need,234573,4,28
Slugdge,Crop Killer,439000,3,28
Nightwish,Elvenpath - Remastered,282204,4,28
Manuel Riva,Miami - Radio Edit,211376,4,28
Gucci Savage,Fucci Average Freestyle (Prod. by Bobby Blakdout),100141,4,28
Anfa Rose,Substance,232072,4,28
Celtic Woman,The Kesh Inn - Live 2017,183680,4,28
Justin Stone,Let's Go,185151,4,28
Discrepancies,The Awakening,221205,4,28
Rebel Wilson,Don't Speak x Hard For Me to Say I'm Sorry,144949,4,28
Raven & Kreyn,Memories (feat. Ralph Larenzo),185600,4,28
Karuna Satori ASMR,Sleep Clinic Part 4,242231,4,28
EVAN GIIA,DRIP,172072,4,28
Michael Lee Brown,Lettin' It Play,196078,4,28
Chang Min,With Me,244701,4,28
Suigeneris,Blank,123429,4,28
Lucy Grimble,Great Redeemer,305670,4,28
Project Destati,Night of Fate,342547,5,28
Greyhounds,Get Away Clean,237393,4,28
Levi Whalen,The Start of Us,344000,4,28
Big Tray Deee,True Life Storiez,213081,4,28
Traviezoz de la Zierra,La Dama de la Hemi,183062,3,28
Boonk Gang,Neva Lack,150073,4,28
Ryan Bingham,Hard Times - Live,382187,4,28
Hott Headzz,Juggernaut,100780,4,28
RADWIMPS,Mountain Top,196947,3,28
Karuna Satori ASMR,Sleep Clinic Part 5,264522,4,28
Tangerine Dream,Granular Blankets,303400,4,28
Vamachara,Reign of Hate,209268,3,28
Jerry Garcia Band,How Sweet It Is (To Be Loved By You) - Live,379757,4,28
DARENOTS,Feel Good Inc.,185130,4,28
