artist_name,track_name,duration_ms,time_signature,popularity
Timo$,Lock It Up,229660,4,18
Brandon Oaks,Drawing Close,246653,4,18
Skater,Euphoria,211765,4,18
The Republic of Wolves,Bask,231454,3,18
Jay Worthy,Fantastic Four (feat. Iamsu!),188813,4,18
TOKiMONSTA,"NO WAY (feat. Isaiah Rashad, Joey Purp & Ambré) [Kingdom Remix]",190898,4,18
H.C. McEntire,Quartz in the Valley,265733,4,18
Jacob Powell,Bourbon on a Broken Heart,161640,4,18
illuminati hotties,Paying off the Happiness,151360,4,18
Swings,Everday,179663,4,18
Silkk The Shocker,Bags,181612,4,18
Bogues,Finger Lakes & the End of Things,200892,4,18
Rowlan,now,159000,4,18
Syskey,Mind Right - Radio Edit,164160,4,18
ill.gates,Bamboo,221247,4,18
Sergei Rachmaninoff,"Symphony No. 2 in E Minor, Op. 27: III. Adagio - Live",905213,3,18
H.I.M.,Finesse It,210007,5,18
Titus Andronicus,Crass Tattoo,261253,3,18
FalKKonE,"Gerudo Valley (From ""The Legend of Zelda: Ocarina of Time"")",250010,4,18
Elijah Jaron,Say so (feat. Voiice),254400,4,18
Telescreens,Poison,247002,4,18
David Osborne,Unchained Melody,256107,3,18
10K,Moving On,264000,4,18
Sean O'Reilly,Nothing Like You,241920,4,18
BoogieFTS,Play Money (feat. Shoreline Mafia),297798,4,18
Mary Monet,Surrender,273782,4,18
Bachton Rd,Tu Ausencia,241152,4,18
$avage,Already Over It (feat. Talley of 300),260973,4,18
J57,The Zone,98712,3,18
Staasia Daniels,Voicemail,173958,4,18
J. Rios,Cu Li,208544,4,18
Ilan Bluestone,Let Me Know - Extended Mix,388185,4,18
Juan y Rafa,Culpable,219062,4,18
Drex Carter,This Life Comes Once,183261,4,18
Chris Wright,Home,132598,3,18
ØDYSSEE,WITH YOU,143308,4,18
Chuck Strangers,Lorimer Street,235049,4,18
Levi Kreis,Walls,254007,4,18
Nap Eyes,You Like to Joke Around with Me,158486,4,18
Domani,Used to Be,213577,5,18
Elvy The God,Cash Out,211169,4,18
Kiah Victoria,Remedy,208707,4,18
Marlo,Ali,158200,4,18
Ajey,Money Make Me Milly Rock,158276,4,18
Nashville Cast,Sweet Revenge - Scene Version,183093,4,18
$avage,Waves (feat. Jalyn Sanders),285223,4,18
Blackbird Blackbird,Give,211957,4,18
Platinum Doug,Get Techy,179500,4,18
Flipturn,Jasmine,49062,4,18
Insecure Men,I Don't Wanna Dance (with My Baby),216333,4,18
Luv Drunk,Heartbeat,144000,4,18
Synergy,The Great Divide,300000,4,18
Harry Romero,Poema,191220,4,18
Chuck Strangers,Riis Beach,183373,4,18
Philthy Rich,Eastside (feat. Jim Jones),220331,5,18
Loby,Sorority Girl,147342,4,18
Marcus Alexander,Something Empty,216012,4,18
DJ Luke Nasty,Do Not Disturb,146828,4,18
Ruslan Radriges,Wonderfull (ASOT 856) [Future Favorite],211820,4,18
Conejo,I Go Hard Dos,202321,5,18
Nashville Cast,Come and Find Me - Montage Version,207307,4,18
Mark Sherry,Can't Live Without Your Love (ASOT 858),308480,4,18
Anthony Santos,Por Tanto Problema,341769,4,18
Marlon Craft,Yankee Fitted Introlude,163902,4,18
緑,Brazy,169000,4,18
Susana,The Promise (ASOT 855) - Bobina Remix,218210,4,18
Klospülung,WC01,63000,4,18
Muzie,Next door (feat. Killagramz),224500,4,18
Lester,No Puedes Olvidarte de Mi,244323,4,18
The Moondoggies,Underground (A Love Sleeps Deep),514851,4,18
Study Music & Sounds,Thunderstorm Sounds for Meditation,117554,5,18
U-God,Venom,175554,4,18
Tom Fall,Divergent (ASOT 855),106510,4,18
Marco Beltrami,A Quiet Moment,73013,5,18
Maduk,Miles Apart - Instrumental,240200,4,18
Adamn Killa,Breaking Bad (feat. Lil Reek),269077,4,18
James Kennedy,Get Loose,238132,4,18
Indiana Bible College Choir,Grace,296051,4,18
Anthony Santos,Me Voy Mañana,317858,4,18
Kvmo,By Your Side,187756,4,18
AC.jR & BradyJames,i cant even tell you,208000,4,18
Elvy The God,Let Em Know,199835,4,18
Ashxs,Wait,222000,4,18
Ursen,Fantasy,186108,4,18
Cian P,Drunk Dial,118763,5,18
Anthony Santos,La Suegra,343522,4,18
Social Repose,I Fall Apart - Acapella,216782,4,18
June,Damn I Know (feat. Show Banga & Compton Av),217516,4,18
L. Martin,Flowers,120729,3,18
Denmark Vessey,Stolat - Knxwledge Mix,231077,4,18
Damon Hess,Tempted - Radio Edit,201290,4,18
DJ Hank Melo,The Love Keys,146857,4,18
DJ Hank Melo,My Dedication,192973,4,18
Yousef,Nothing to Fear,430156,4,18
Ryan Porter,Obamanomics,234511,3,18
Luis Vargas,Yo No Muero en Mi Cama,247850,4,18
Vundabar,Tonight I'm Wearing Silk,178877,4,18
DJ Hank Melo,Organs of Funk,200269,4,18
DJ Hank Melo,We Are Family 3000,269800,4,18
DJ Hank Melo,See the Light,183000,4,18
DJ Hank Melo,The Funky Man,209667,4,18
DJ Hank Melo,Strings of Fire,217307,4,18
DJ Hank Melo,That Chill Guitar,150787,4,18
DJ Hank Melo,Step Back,174947,4,18
DJ Hank Melo,The Get Down,210360,4,18
Indiana Bible College Choir,Perfect Peace,279250,4,18
