artist_name,track_name,duration_ms,time_signature,popularity
Sanction,Fixated Upon a Figure,133994,4,31
ReauBeau,Not About You (feat. Robin),181725,4,31
Lauren Sanderson,Conversations,147188,4,31
Luna Luna,You and I,293738,4,31
Anna Leone,Into the Cold,228547,4,31
Ermal Fejzullahu,Fshatarja Ime (feat. Ledri Vula),158500,4,31
GB9,If you,208064,4,31
Franke,Bad Tattoo - ZAXX Remix,186685,4,31
Geowulf,Drink Too Much,227603,4,31
Elijah Who,sleep on it,117681,4,31
Darryl Williams,Do You Remember (feat. Michael Lington),254627,4,31
Jooyoung,Fountain,184720,4,31
Teison,Lost in Paris,179838,4,31
Vacations,In Retrospect,226592,4,31
BRADIO,きらめきDancin',271465,4,31
warner case,Thereforeyou,240545,4,31
LOYALS,Hold On,221199,4,31
Chris Dave and The Drumhedz,Dat Feelin',218750,4,31
Louisa Wendorff,Stop This Fire,295926,4,31
AmaLee,Legend of Mermaid (Mermaid Melody),138125,4,31
Rob Curly,Reflections,138667,3,31
Pancho Barraza,Tu Ya No Volveras,190813,4,31
Small Crush,Chicken Noodle,64064,4,31
Corneille,Smooth Operator,200693,4,31
Jens Lekman,"CORRESPONDENCE: Forever Young, Forever Beautiful",197500,4,31
Fruition,I'll Never Sing Your Name (alt version),155052,4,31
Modestep,Higher (Oliverse Remix),231591,4,31
Norman Perry,Different Women,215040,4,31
YyyKnot,Pour Me An Old Fashioned,198478,3,31
French Horn Rebellion,Mr. Romantic,192594,4,31
Project Destati,A Fight to the Death,117667,4,31
DevTakeFlight,Paper Route,128808,4,31
UNB,Rebooting,216149,4,31
Jonathan Wilson,Sunset Blvd,344105,4,31
94stones,Gohan Angers,158500,4,31
Smerz,Have fun,164133,4,31
Bonny Doon,Saw a Light,328899,4,31
Uppermost,The Brightest Light,316065,4,31
Zzz,Sleepy,222903,4,31
Hilyard,Aeriform,521143,4,31
Marika Hackman,Cigarette - 7 Layers Session,116040,4,31
Triple Ess,Cyaah Done (feat. Chiqua),186332,4,31
Travis Atreo,Getaway Car,231132,4,31
AXSHN,Location - N2N & Vasta Remix,165818,4,31
Voice,Full of Vibe,197652,4,31
Henry,Monster - Chinese Version,203631,5,31
Leandro Da Silva,Yemanjà,207360,4,31
Dan Bull,Destiny 2 Rap: Commander Zavala vs. Cayde-6,133713,4,31
Chester Lockhart,In Loving Memory,188651,4,31
David Osborne,Ready to Take a Chance Again,270781,4,31
Vayb,Ou pa nan plas mwen,345806,4,31
ISLAND,Something Perfect,190240,4,31
The Mudhole Stompers,Texas Schottische,104020,4,31
Deuce,Famous (feat. Gadjet),272853,4,31
Brad Mehldau,Before Bach: Benediction,325133,4,31
Dudu Aharon,Baby,211324,4,31
Capstan,Precariat,185928,4,31
SYML,Wildfire - Piano Solo,235429,4,31
IAMX,The Power And The Glory,312173,4,31
KUNZITE,ANAHOLA,213702,5,31
Thick44,Whatever It Takes,200363,4,31
Odunsi (The Engine),Alte Cruise,195187,4,31
Grupo 360,El Deivid,173427,3,31
Applejay,Bad Mind,237322,4,31
Buddy Brown,Got This Boy in Love,241880,4,31
Dotman,RaRa,223434,4,31
Rolo Tomassi,Towards Dawn,224707,4,31
Andrew Huang,Love Is Real,193721,4,31
Malinda Kathleen Reese,Last First Love,139203,4,31
Jiggly Caliente,I Don't Give a Fuck (feat. Sharon Needles),215714,4,31
The Comedown,Void,214000,4,31
BROCKBEATS,songbird,107520,4,31
BANDA TIERRA MOJADA,Una en un Millón,161246,1,31
Only Emily,Amethysts,206897,4,31
The Royal Foundry,Never Have Time,199149,4,31
Caleb Hyles,Bring Me to Life,224579,4,31
Lena Raine,In the Mirror,577702,5,31
Froggy Fresh,Good Guy Shoes,249656,4,31
VROMANCE,Star,214766,3,31
Meridian,The Fate of Atlantis,347815,4,31
Brock Berrigan,Do It Again,173494,4,31
Diamond Platnumz,Pamela,233760,4,31
Ленинград,Путин,163869,4,31
Subtronics,Critical Strength,208552,4,31
El Makabelico,La Medusa y los Doble RR,275676,4,31
Slone,You Know Why,147055,4,31
ASIAN KUNG-FU GENERATION,Kaigan Dori - 2016 Rerecorded,301587,4,31
Davide Mazzilli,The Club,185366,4,31
biosphere,A Child's Tale,111290,4,31
Aniceto Molina,La Cabellona,193541,4,31
Saevom,너로 짙은 밤 Mistiness of You,230873,4,31
Lena Raine,Heart of the Mountain,382284,4,31
Otoboke Beaver,あなたわたし抱いたあとよめのめし anata watashi daita ato yome no meshi,120000,5,31
Brock Berrigan,Off the Grid,173494,4,31
Goat Girl,Salty Sounds,67769,4,31
Ленинград,Чашечки,156766,4,31
Ленинград,Цой,158260,4,31
The Red Pears,Beach Song,143080,4,31
