artist_name,track_name,duration_ms,time_signature,popularity
Invisible Inc.,They Warned Us (feat. Gift of Gab),232693,4,17
Cosmos People,拿下這一場,238333,4,27
Famez,Before You Go,244246,4,17
Flipturn,Nickel,237197,4,27
Scallops Hotel,Bought My Kid A High Chair,119093,4,27
Ymisonice,Gram Age,183500,4,27
Reyna Biddy,Some Day,85453,3,27
DJ Nelson,"Micro Mixx, Vol. 8",596820,4,37
Powell,Yu No Dey Lie,217156,4,37
Alex Isley,Smoke & Mirrors,299673,4,27
Late June,I Don't Want To Lose You,140016,4,27
Eugenia Chasey,Manual Ocean,222015,4,27
Konshens,Turn Me On,199213,4,37
Derek Stelk,Glittering Feast,298867,4,27
Orville Dahl,Strange Spritualism,246282,4,27
MINSEO,The Grand Dreams,268373,4,27
Cherrie Bothner,Sneaking Up On Pleasure,238573,3,27
Lil Kesh,Apa Mi,214750,4,27
Elyah,Eyes Wide Shut (Wake up) [feat. Menend],210143,4,17
Christopher Lennertz,Race the Minefield,231040,4,17
Armin van Buuren,"A State Of Trance (ASOT 858) - Coming Up, Pt. 2",31070,3,7
Blossoms,"I Can't Stand It - Hi, I’m Claude Remix",289274,4,17
Limbo,Still,162830,4,27
Kathleen Madigan,Car Crash vs. Plane Crash,106002,3,27
Break Science,Guiding Light,200663,4,27
Angela Chang,沒離開過 (電影《南極之戀》全球推廣曲),306565,4,37
Ludwig van Beethoven,"Piano Sonata No. 14 In C Sharp Minor, Op. 27, No. 2 -""Moonlight"": 1. Adagio sostenuto",316440,3,27
Cro,Computiful - Carlifornia RMX,246984,4,47
Jason Crabb,Short Are the Years,220427,4,17
Thundercat,I Am Crazy (Chopnotslop Remix),65973,4,27
Moshe Peretz,היינו שניים,234146,4,37
Alexandrina Simeon Quintett,"Dilmano, Dilbero",312082,4,7
Baldwin Sauerwein,Freezing Party,166191,4,27
Gentle Bones,7OVE YOU,181667,4,37
Aubrey Huntsman,Northern California,224327,4,27
Estiva,Rainbow (ASOT 856) [Progressive Pick],240439,4,17
Big Something,Sundown Nomad (Mister Version),372033,4,17
Fearless Motivation,They Do Not Define Me (Motivational Speech),228958,3,27
