artist_name,track_name,duration_ms,time_signature,popularity
"Tito ""El Bambino""",Contigo Siempre,205166,4,20
Dessa,5 Out of 6,212680,4,20
Ramin Djawadi,Tap Into Your Mind,181080,3,20
Coach Joey,Time,107064,4,20
Trevor Jackson,Cover Page (Intro),37625,4,20
Ramin Djawadi,Forgive Me,190973,3,20
David Bazan,My Body,309213,4,20
Eddie Santiago,Jardín Prohibido,327866,4,20
Roland Mercier,Brahma-Vihara,166000,4,20
Stalley,Shining 2 Hard,192040,4,20
Allstar JR,Hot Like Fire (feat. Asianae & Allstar Lee),225672,4,20
Lush & Simon,Feel So,201596,4,20
John Legend,Curtain Call,154587,4,20
350heem,Guerilla,223904,4,20
L.A. Salami,You're Better Off Alone,208354,4,20
Zen Music Garden,Ocean Waves to Help You Sleep,113333,4,20
Coffey Anderson,Every Now and Then,200133,4,20
GUM,The Fear,346234,4,20
GabrielRodriguezEMC,Esperanza,230528,4,20
Ursen,Rock This Space,203404,4,20
Chris LaRocca,Call Me Up,230812,4,20
American Nightmare,War,193467,4,20
Barri McPherson,"Once upon a Time (From ""Brooklyn"")",191975,4,20
Jason Miyagi,sweet talk.,176566,4,20
Lil Zo,The Florist,202467,4,20
David Osborne,Strangers in the Night,221302,4,20
QuietKind,Limbo,250625,4,20
Juliana Hatfield,Xanadu,206005,4,20
Josh Rouse,Hugs and Kisses,218267,4,20
Chuck Strangers,No Dice (Bonus Track),198768,4,20
Bobby V.,Promise U,269040,4,20
Mir Fontane,Skit,33168,3,20
Ancient Astronauts,SUFFOC-HATE,228000,4,20
Simona Molinari,Maldamore,166452,4,20
The Musket Vine,Alguien Como Tu,239073,4,20
Maty Noyes,Say It To My Face - Evan Gartner Remix,205467,4,20
Fan Sounds,Box Fan Symphony,216085,5,20
TYLERxCORDY,Callin My Phone,202125,4,20
Frédéric Chopin,"Études, Op. 25: II. Etude in F Minor",104973,3,20
Marco Beltrami,The Dinner Table,106600,4,20
Spencer Crandall,I Thought We Broke Up - Acoustic,193691,4,20
Anders,Fire,194318,4,20
Wolfgang Amadeus Mozart,"Divertimento in E-Flat Major, K. 563: III. Menuetto. Allegretto",371160,1,20
Flipturn,Fletcher,133176,4,20
